Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain
Disp_1359,34,1754.47,46303500,0.26972,37.3439789502219,14.506,5000.00514391105,585.1859238,230.212839249866,4182.42585358987,4144.35982730916,1,10,3596.4915274263,0.353118687868118
Disp_136,7,1751.07,69380100,0.345238,23.2663904788216,14.0445,4999.99987397114,120.2459769,72.7480131627208,1054.34192455585,612.38389494,1,90,509.662650288783,0.12366408854723
Disp_1360,20,2168.15,99798700,0.293487,30.8224106066396,12.0508,5000.00320020009,425.39103,207.429685241163,3755.49316811838,3489.35876920815,1,0,1758.04789090738,0.0810203552246094
Disp_1361,26,1851.5,96541900,0.337776,29.2079258097046,12.4344,5000.00231764011,472.24359,241.797970715925,3723.54125519868,3580.44440824654,1,-10,1992.77260327715,0.115840002894402
Disp_1362,20,1824.35,80863100,0.337469,21.712163270533,15.642,4999.99714190065,357.93747,225.52065286213,2166.83614661407,2014.79469779517,1,65,2840.36234303126,0.943783760070801
Disp_1363,14,1797.48,62099000,0.298305,29.8793781335143,15.0793,4999.99849604857,246.8659032,123.88331043577,2174.79890912755,1885.33188440998,1,35,1856.1422571371,0.409926176071167
Disp_1364,6,1659.62,30559200,0.284529,44.7180612792633,18.659,4999.99157119875,97.6852332,28.9520732497075,1435.26887725549,848.886817136982,1,15,845.720512573627,0.131776615977287
Disp_1365,18,1740.38,78167400,0.287877,32.9657492137167,15.4154,5000.00141884128,307.3163004,140.093949425565,3006.86933028343,2737.45281358842,1,-5,1455.32129579959,0.0940923765301704
Disp_1366,47,2126.22,44602900,0.264962,43.6263117883755,18.4464,5000.00416181499,980.3362554,303.951265390263,6286.2290085351,6269.51646042094,1,-90,2404.10040964987,0.339515328407288
Disp_1367,24,1704.5,76443100,0.343105,32.6555766450963,16.5405,4999.99833464395,401.30748,184.766897304269,3450.4048592185,3310.92618871122,1,-5,1877.99720060696,0.108303889632225
Disp_1368,42,1957.02,42503700,0.284615,37.7451236711662,18.2611,4999.99508935879,806.3313804,312.735638939321,4950.57950834799,4930.96291044602,1,NaN,Inf,Inf
Disp_1369,34,1815.26,53964300,0.397202,33.5264993061419,17.3166,4999.99486887496,605.4618204,271.051574417069,4003.85832459771,3965.35434000944,1,NaN,Inf,Inf
Disp_137,6,2000.76,42557800,0.25847,31.7182838713387,16.8939,4999.99576250686,117.7647336,55.8507339723454,1288.84588316431,739.171979855375,1,-5,683.774634507451,0.115840002894402
Disp_1370,11,1761.38,47822100,0.270464,44.1023525369462,16.3481,5000.01016278814,190.0705158,57.7924073077645,2499.47401775688,2040.56253486254,1,90,441.862743306796,0.048480149358511
Disp_1371,25,1772.44,30349600,0.361199,30.3014410251972,17.8173,5000.00262596555,434.69091,215.36789886355,2465.20815309804,2429.416187943,1,15,3053.98796112688,0.705080687999725
Disp_1372,45,2390.17,67390600,0.359917,22.4260259444202,19.97,5000.00197103386,1055.1405465,652.61466144622,4572.90775098608,4551.94041313148,1,NaN,Inf,Inf
Disp_1373,19,2124.98,54054700,0.255123,37.0303569756279,14.2394,4999.99665183087,396.0750222,157.543561668309,3477.14137622308,3313.03392910158,1,0,2778.91978212564,0.239928305149078
Disp_1374,11,2274.36,63077500,0.310439,32.8156351370287,14.9037,5000.00046573024,245.4261876,112.420516415476,2392.19285595944,1941.46853408429,1,0,1152.0264084266,0.0874146819114685
Disp_1375,14,2151.53,51664500,0.393557,41.3429850886858,14.1675,5000.00281882858,295.4911302,100.300001031884,3031.37788187502,2760.47044713773,1,35,548.219705065467,0.02541184425354
Disp_1376,24,1984.78,80639600,0.346107,39.6219063754645,18.7487,5000.00249577441,467.2966032,169.292895690421,4637.93042824349,4475.18144521806,1,NaN,Inf,Inf
Disp_1377,39,2189.71,34303600,0.369227,44.1349261808737,19.8893,5000.00024639781,837.7611489,254.385820637121,5017.62439763496,5001.600973233,1,70,1967.12489629715,0.217718422412872
Disp_1378,46,2164.86,51254300,0.394927,39.5965877600886,19.7526,5000.00347694079,976.9147236,354.250672389377,5989.43766552285,5971.52158905747,1,NaN,Inf,Inf
Disp_1379,16,1933.96,58228200,0.355266,35.5673547732703,12.5898,5000.00382703475,303.5543616,126.989053671705,2840.29229328016,2609.27075436289,1,-10,1349.08067795135,0.0810203552246094
Disp_138,26,2189.15,35017200,0.365745,40.2192003459777,16.1123,4999.99652858134,558.364599,197.820979984578,3748.77454892127,3706.91441333569,1,35,1085.4690565554,0.0749075263738632
Disp_1380,43,1754.2,66704200,0.363341,33.421149330556,19.833,5000.00202214103,739.974186,332.404643097216,4938.05140302928,4906.99325277309,1,5,4043.64583870743,0.300209075212479
Disp_1381,50,1835.94,99275700,0.251429,22.6739824231107,17.2765,5000.00115517106,900.52857,553.386436559925,4695.76992775532,4663.38528322955,1,NaN,Inf,Inf
Disp_1382,26,2244.81,43328100,0.254887,31.997714423819,18.7876,5000.00260923988,572.5612386,269.169377924079,3575.61491314456,3519.95457546898,1,NaN,Inf,Inf
Disp_1383,11,1676.3,50714600,0.318924,29.6202843873781,17.2077,5000.00368091816,180.889533,91.4849423930169,1639.96689696942,1314.55974770235,1,-40,1634.74578788385,0.313056647777557
Disp_1384,10,2180.31,78349500,0.355452,31.0772909838302,12.1876,4999.99607636325,213.888411,103.480515966258,2204.96443735984,1633.72218258319,1,5,869.308452336989,0.0440005883574486
Disp_1385,29,1672.48,39428300,0.324139,21.4860250186396,19.095,4999.99906255369,475.8038352,301.529128897873,2170.88947174282,2139.71604023156,0,NaN,Inf,Inf
Disp_1386,37,1759.51,40671000,0.338,29.5217801793149,14.9274,5000.00417659253,638.6493447,323.952084148894,3451.3492645453,3429.49578125153,1,-5,3314.63045606326,0.439701706171036
Disp_1387,37,2396.52,79274800,0.300793,21.2346495264694,15.3879,4999.99855275444,869.8648644,554.809966034809,4026.30444199249,3985.65737336702,1,NaN,Inf,Inf
Disp_1388,39,1807.09,34229900,0.352112,34.4959303343528,17.177,5000.00382371686,691.3745631,299.816170429165,3823.80622948448,3807.70896156671,1,NaN,Inf,Inf
Disp_1389,40,2244.86,65744400,0.35256,40.7064581787679,13.9328,4999.99801553474,880.883064,306.385352464178,6401.92659353846,6365.29858279449,0,NaN,Inf,Inf
Disp_139,35,1624.36,63860400,0.397062,31.6622343153434,12.1021,5000.00348458986,557.724006,264.968686899117,3839.68236751541,3794.40678066259,1,NaN,Inf,Inf
Disp_1390,12,2174.97,96959300,0.313934,26.4166966268413,18.5233,5000.004632795,256.0374684,142.127376602388,2242.67463075458,1755.77944158088,1,45,1682.09860487996,0.32616001367569
Disp_1391,8,1740.13,33726200,0.326438,42.4466394486341,12.9242,5000.00591368582,136.5654024,44.3969649893151,1699.39165443303,1245.94711443332,1,40,226.891115314973,0.0147968353703618
Disp_1392,41,1646.58,84846500,0.253267,26.900481181164,17.1047,5000.00022108955,662.2709418,362.631620699982,4227.14028373587,4179.61153415889,1,NaN,Inf,Inf
Disp_1393,35,2022.36,97429300,0.298388,41.9074138903698,19.3857,5000.00556417955,694.377306,230.582662614378,6753.57477439254,6657.27161763685,1,NaN,Inf,Inf
Disp_1394,23,2317.63,46071200,0.315035,29.5697556290155,17.0409,5000.00508604628,522.9268569,264.871435415476,3173.5896016153,3102.9648605008,1,NaN,Inf,Inf
Disp_1395,7,2172.43,51480300,0.274704,24.6635425910244,16.9993,5000.00007623771,149.1807681,86.9292889059641,1208.33136056484,775.415616433301,1,45,693.306151898911,0.300209075212479
Disp_1396,31,1865.05,30829600,0.380586,43.2055728264235,18.4723,5000.01035479778,567.1803555,178.878471918262,3756.8547405157,3731.9032534489,0,NaN,Inf,Inf
Disp_1397,15,2370.01,62023900,0.352486,42.3950334326702,15.3049,4999.99609365101,348.7469715,113.608380651407,3721.8366267692,3415.16357765747,1,35,657.479143274942,0.02541184425354
Disp_1398,49,2104.17,30955200,0.278482,23.5104954445422,19.5997,4999.99684002092,1011.4534773,607.967440573435,3751.04097288074,3743.69028316936,1,NaN,Inf,Inf
Disp_1399,46,2272.45,53735500,0.380005,23.6821927311826,12.1838,5000.00282533889,1025.465787,613.573944718785,4362.38499900871,4347.0847765885,1,NaN,Inf,Inf
Disp_14,13,2072.55,82829500,0.392123,27.2627808020325,14.9357,4999.99886804863,264.3123015,143.238180317312,2216.772385799,1847.52666811969,1,-25,1566.50039476235,0.176663920283318
Disp_140,45,2367.6,61402500,0.397737,27.1101317605702,16.3823,4999.99663646854,1045.17702,568.88742849416,5070.68682013353,5050.8654521916,1,NaN,Inf,Inf
Disp_1400,7,2021.28,70220000,0.361686,27.7208380316693,15.2838,4999.99474688535,138.8012976,74.2359272241385,1415.49532735555,832.346559273449,1,-20,810.401816372164,0.0940923765301704
Disp_1401,38,1606.69,48375000,0.322728,44.3923232422504,19.9863,5000.00568681483,598.9418982,179.941548446829,4835.5334933776,4802.66664015444,1,-85,1474.83602284571,0.167111307382584
Disp_1402,28,2150.89,84670300,0.390871,31.0131758502547,12.7218,4999.99514117738,590.8064652,286.402191429476,4316.74640816828,4218.31994780444,1,NaN,Inf,Inf
Disp_1403,12,1970.19,90773000,0.369636,43.1673829787745,16.211,4999.99763980894,231.9307668,73.2595047010111,3461.70426869582,2731.74939210014,1,35,444.723738762235,0.0126825589686632
Disp_1404,5,2252.93,34344400,0.382634,39.114411663851,13.5149,4999.99340382984,110.5062165,40.7910506053975,1377.10654678921,750.340540816111,1,20,597.300772391822,0.0749075263738632
